Strain	Accession	Year	Continent	Region	Country	Source	Genotype	Source
Gen-0010	ERR338079	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0011	ERR338080	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0012	ERR338081	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0013	ERR338082	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0014	ERR338083	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0015	ERR338084	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0016	ERR338085	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0017	ERR338086	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0018	ERR338087	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0019	ERR338088	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0002	ERR338071	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0020	ERR338089	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0021	ERR338090	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0022	ERR338091	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0023	ERR338092	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0024	ERR338093	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0025	ERR338094	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0026	ERR338095	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0027	ERR338096	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0028	ERR338097	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0029	ERR338098	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0003	ERR338072	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0030	ERR338099	2012	Australia & Oceania	Oceania 	Samoa	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
Gen-0031	ERR338100	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0032	ERR338101	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0033	ERR338102	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0034	ERR338103	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0035	ERR338104	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0036	ERR338105	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0037	ERR338106	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0038	ERR338107	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0039	ERR338108	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0004	ERR338073	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0040	ERR338109	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0041	ERR338110	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0042	ERR338111	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0043	ERR338112	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0044	ERR338113	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0045	ERR338114	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0046	ERR338115	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0047	ERR338116	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0048	ERR338117	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0049	ERR338118	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0005	ERR338074	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0050	ERR338119	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0051	ERR338120	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0053	ERR338122	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0054	ERR338123	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0055	ERR338124	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0056	ERR338125	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0058	ERR338127	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0059	ERR338128	2012	Australia & Oceania	Oceania 	Samoa	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
Gen-0006	ERR338075	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
Gen-0060	ERR338129	2012	Australia & Oceania	Oceania 	Samoa	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
2010K-0515	ERR338131	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0552	ERR338132	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0527	ERR338133	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0507	ERR338134	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0519	ERR338135	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0533	ERR338136	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0512	ERR338137	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0530	ERR338138	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Gen-0007	ERR338076	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
2010K-0553	ERR338139	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0550	ERR338140	2009	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0511	ERR338141	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0539	ERR338143	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0522	ERR338145	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0517	ERR338146	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0548	ERR338147	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0509	ERR338148	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Gen-0008	ERR338077	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
2010K-0500	ERR338149	2007	Africa	East Africa	Kenya	Stool	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0506	ERR338150	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0554	ERR338151	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0508	ERR338152	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0626	ERR338153	2009	Africa	East Africa	Kenya	Blood	3.3.1	"Wong et al, 2015 (global framework)"
2010K-0524	ERR338157	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0523	ERR338158	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
Gen-0009	ERR338078	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
2010K-0544	ERR338159	2009	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0545	ERR338160	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0538	ERR338161	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0535	ERR338162	2009	Africa	East Africa	Kenya	Blood	3.3.1	"Wong et al, 2015 (global framework)"
2010K-0534	ERR338163	2008	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2010K-0514	ERR338164	2007	Africa	East Africa	Kenya	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-001525	ERR340757	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-007506	ERR340766	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2008-006685	ERR340767	2008	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-011815	ERR340768	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2001-100239	ERR340769	2007	Asia	Southeast Asia	Cambodia	Blood	3.2.1	"Wong et al, 2015 (global framework)"
2007-015823	ERR340770	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-023117	ERR340771	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-024445	ERR340772	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-023116	ERR340773	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-024758	ERR340774	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-007363	ERR340775	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-001619	ERR340758	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
LNT 08	ERR340777	2001	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
LNT1108	ERR340778	2001	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
LNT1148	ERR340779	2001	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
LNT22	ERR340780	2001	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
LNT26	ERR340781	2001	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
LNT358	ERR340782	2000	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI1059	ERR340783	2001	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI1151	ERR340784	2001	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI1203	ERR340785	2001	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
2001-102645	ERR340759	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI1236	ERR340786	2001	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI1954-12/3	ERR340787	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI1954-2/3	ERR340788	2002	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI1965	ERR340789	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI1998	ERR340790	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2000	ERR340791	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2001	ERR340792	2002	Asia	Southeast Asia	Laos	Blood	2.2.3	"Wong et al, 2015 (global framework)"
UI2006	ERR340793	2002	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI2063	ERR340794	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2120	ERR340795	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-003270	ERR340760	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2144	ERR340797	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2152	ERR340798	2002	Asia	Southeast Asia	Laos	Blood	4.1.0	"Wong et al, 2015 (global framework)"
UI2155	ERR340799	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2220	ERR340800	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2351	ERR340801	2002	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI247	ERR340802	2000	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2591	ERR340803	2002	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI2658	ERR340804	2002	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI2679	ERR340805	2002	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
2007-006110	ERR340761	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI2824	ERR340806	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI286	ERR340807	2000	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI3146	ERR340808	2002	Asia	Southeast Asia	Laos	Blood	2.3.4	"Wong et al, 2015 (global framework)"
UI315	ERR340809	2000	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI3151	ERR340810	2002	Asia	Southeast Asia	Laos	Blood	2.3.4	"Wong et al, 2015 (global framework)"
UI3260	ERR340811	2003	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI3275	ERR340812	2003	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI3313	ERR340813	2003	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI3396	ERR340814	2003	Asia	Southeast Asia	Laos	Blood	2.2.3	"Wong et al, 2015 (global framework)"
UI473	ERR340815	2000	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI54	ERR340816	2000	Asia	Southeast Asia	Laos	Blood	4.1.0	"Wong et al, 2015 (global framework)"
2007-005516	ERR340763	2007	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2007-007073	ERR340765	2007	Asia	Southeast Asia	Cambodia	Blood	3.2.1	"Wong et al, 2015 (global framework)"
ERL021174                     	ERR343249	2002	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL032330	ERR343258	2003	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL034151	ERR343260	2003	Asia	Southeast Asia	Indonesia	Blood	2.2.1	"Wong et al, 2015 (global framework)"
ERL04140	ERR343262	2004	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL041419	ERR343263	2004	Asia	South Asia	India	Blood	4.1.0	"Wong et al, 2015 (global framework)"
ERL041834	ERR343264	2004	Asia	South Asia	India	Stool	3.3.0	"Wong et al, 2015 (global framework)"
ERL041932	ERR343265	2004	Australia & Oceania	Oceania 	Samoa	Blood	4.1.0	"Wong et al, 2015 (global framework)"
ERL042857	ERR343266	2004	Australia & Oceania	Oceania 	Samoa	Blood	3.5.3	"Wong et al, 2015 (global framework)"
ERL043008	ERR343267	2004	Australia & Oceania	Oceania 	Samoa	Stool	3.5.4	"Wong et al, 2015 (global framework)"
ERL022463                     	ERR343250	2002	Asia	Western Asia	Western Asia	Stool	2.1.4	"Wong et al, 2015 (global framework)"
ERL052042	ERR343269	2005	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL061748	ERR343270	2006	Asia	Southeast Asia	South-east Asia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL062282	ERR343271	2006	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL063423	ERR343272	2006	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL063424	ERR343273	2006	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL064553	ERR343274	2006	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL0661	ERR343275	2006	Asia	South Asia	India	Blood	2.5.0	"Wong et al, 2015 (global framework)"
ERL07263	ERR343276	2007	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL07264	ERR343277	2007	Australia & Oceania	Oceania 	Samoa	Blood	3.5.3	"Wong et al, 2015 (global framework)"
ERL022464                     	ERR343251	2002	Asia	Western Asia	Western Asia	Blood	2.1.2	"Wong et al, 2015 (global framework)"
ERL072830	ERR343278	2007	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL072973	ERR343279	2007	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
ERL07434	ERR343280	2007	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL082325	ERR343281	2008	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
ERL082356	ERR343282	2008	Asia	South Asia	India	Stool	4.3.1	"Wong et al, 2015 (global framework)"
ERL082408	ERR343283	2008	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL082444	ERR343284	2008	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL082759	ERR343285	2008	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
ERL084047	ERR343286	2008	Asia	South Asia	India	Stool	2.2.2	"Wong et al, 2015 (global framework)"
ERL084170	ERR343287	2008	Asia	East Asia	China	Blood	3.1.2	"Wong et al, 2015 (global framework)"
       ERL024120                     	ERR343252	2002	Asia	Southeast Asia	Indonesia	Stool	2.1.2	"Wong et al, 2015 (global framework)"
ERL08619	ERR343288	2008	Asia	South Asia	India	Unknown	4.3.1	"Wong et al, 2015 (global framework)"
ERL08758	ERR343289	2008	Asia	South Asia	India	Blood	2.1.7	"Wong et al, 2015 (global framework)"
ERL091092	ERR343291	2009	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
ERL091300	ERR343292	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL091788	ERR343293	2009	Asia	Southeast Asia	South-east Asia	Blood	3.2.2	"Wong et al, 2015 (global framework)"
ERL091797	ERR343294	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL09383	ERR343295	2009	Asia	South Asia	India	Stool	3.1.0	"Wong et al, 2015 (global framework)"
ERL094053	ERR343296	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL0982	ERR343297	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL024182                   	ERR343253	2002	Asia	South Asia	India	Blood	2.5.0	"Wong et al, 2015 (global framework)"
ERL0983	ERR343298	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
ERL09892	ERR343299	2009	Australia & Oceania	Oceania 	Samoa	Unknown	3.5.4	"Wong et al, 2015 (global framework)"
ERL101104	ERR343300	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL101621	ERR343301	2010	Asia	South Asia	India	Blood	2.0.1	"Wong et al, 2015 (global framework)"
ERL102156	ERR343302	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL102275	ERR343303	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL102461	ERR343304	2010	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
